Region,Stop
Ostasien,Jiufen
Ostasien,Himeji
Ostasien,Okinawa
Nordamerika,New York City
Nordamerika,Grand Canyon
Nordamerika,Yellowstone Nationalpark
Nordamerika,Banff Nationalpark
Nordamerika,Vancouver Island
Nordamerika,Kalifornische Pazifikküste
Nordamerika,San Francisco
Nordamerika,Los Angeles
Nordamerika,Miami
Nordamerika,Yosemite Nationalpark
Nordamerika,Zion Nationalpark
Nordamerika,Bryce Canyon
Nordamerika,Grand Teton
Nordamerika,Great Smoky Mountains
Nordamerika,Niagarafälle
Nordamerika,Québec City
Nordamerika,Riviera Maya
Nordamerika,Cancún
Nordamerika,Tulum
Nordamerika,Los Cabos
Südamerika,Rio de Janeiro
Südamerika,Iguazú-Wasserfälle
Südamerika,Machu Picchu
Südamerika,Patagonien
Südamerika,Atacama-Wüste
Südamerika,Galapagos-Inseln
Südamerika,Buenos Aires
Südamerika,Cartagena
Südamerika,Salvador da Bahia
Südamerika,Amazonas-Regenwald
Südamerika,Osterinsel
Südamerika,Salar de Uyuni
Südamerika,Torres del Paine
Südamerika,Bariloche
Südamerika,Florianópolis
Südamerika,Medellín
Südamerika,Cusco
Südamerika,Titicacasee
Südamerika,Valparaíso
Südamerika,Mendoza
Australien & Neuseeland,Great Barrier Reef
Australien & Neuseeland,Sydney
Australien & Neuseeland,Melbourne
Australien & Neuseeland,Queenstown
Australien & Neuseeland,Milford Sound
Australien & Neuseeland,Rotorua
Australien & Neuseeland,Whitsunday Islands
Australien & Neuseeland,Fraser Island
Australien & Neuseeland,Kangaroo Island
Australien & Neuseeland,Gold Coast
Australien & Neuseeland,Uluru
Australien & Neuseeland,Great Ocean Road
Australien & Neuseeland,Margaret River
Australien & Neuseeland,Bay of Islands
Australien & Neuseeland,Taupo
Australien & Neuseeland,Abel Tasman
Australien & Neuseeland,Hobbiton
Australien & Neuseeland,Mount Cook
Australien & Neuseeland,Tasmania
Australien & Neuseeland,Byron Bay
Skandinavien & Baltikum,Stockholm
Skandinavien & Baltikum,Oslo
Skandinavien & Baltikum,Kopenhagen
Skandinavien & Baltikum,Helsinki
Skandinavien & Baltikum,Reykjavik
Skandinavien & Baltikum,Bergen
Skandinavien & Baltikum,Lofoten-Inseln
Skandinavien & Baltikum,Nordkap
Skandinavien & Baltikum,Åland-Inseln
Skandinavien & Baltikum,Gotland
Skandinavien & Baltikum,Tallinn
Skandinavien & Baltikum,Riga
Skandinavien & Baltikum,Vilnius
Skandinavien & Baltikum,Helsinki-Schären
Skandinavien & Baltikum,Stockholm-Schären
Skandinavien & Baltikum,Sognefjord
Skandinavien & Baltikum,Geirangerfjord
Skandinavien & Baltikum,Lappland
Skandinavien & Baltikum,Åre
Skandinavien & Baltikum,Ålesund
Alpen & Mitteleuropa,Zermatt
Alpen & Mitteleuropa,Interlaken
Alpen & Mitteleuropa,Innsbruck
Alpen & Mitteleuropa,Kitzbühel
Alpen & Mitteleuropa,Garmisch-Partenkirchen
Alpen & Mitteleuropa,Cortina d’Ampezzo
Alpen & Mitteleuropa,Chamonix & Mont Blanc
Alpen & Mitteleuropa,St. Moritz
Alpen & Mitteleuropa,Salzburg
Alpen & Mitteleuropa,Lake Como
Alpen & Mitteleuropa,Lake Garda
Alpen & Mitteleuropa,Hallstatt
Alpen & Mitteleuropa,Ljubljana
Alpen & Mitteleuropa,Grindelwald
Alpen & Mitteleuropa,Jungfraujoch
Alpen & Mitteleuropa,Stelvio Pass
Alpen & Mitteleuropa,Großglockner Hochalpenstraße
Alpen & Mitteleuropa,Dolomiten-Panoramastraße
Alpen & Mitteleuropa,Black Forest
Alpen & Mitteleuropa,Berchtesgaden & Königssee
